DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
2002-11-01,Kevin Garnett,MIN,23,14.0,10.0,1.0,1.0,W,HOME,ORL,MIN,44.9795,-93.2761
2002-11-02,James Posey,DEN,19,14.0,10.0,3.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2002-11-03,Kobe Bryant,LAL,33,14.0,12.0,1.0,0.0,W,HOME,POR,LAL,34.043056,-118.267222
2002-11-09,Jay Williams,CHI,26,14.0,13.0,2.0,0.0,W,HOME,NJN,CHI,41.880556,-87.674167
2002-11-09,Jason Kidd,NJN,25,11.0,12.0,2.0,0.0,L,AWAY,CHI,CHI,41.880556,-87.674167
2002-11-20,Ben Wallace,DET,12,19.0,1.0,1.0,10.0,W,HOME,MIA,DET,42.6969,-83.24555
2002-11-22,Antoine Walker,BOS,27,11.0,10.0,0.0,2.0,W,HOME,ATL,BOS,42.366303,-71.062228
2002-11-24,Kobe Bryant,LAL,15,11.0,11.0,1.0,0.0,W,HOME,MIL,LAL,34.043056,-118.267222
2002-11-27,Kevin Garnett,MIN,20,13.0,10.0,2.0,0.0,W,HOME,SAC,MIN,44.9795,-93.2761
2002-12-03,Kobe Bryant,LAL,24,10.0,11.0,1.0,3.0,W,HOME,MEM,LAL,34.043056,-118.267222
2002-12-09,Sam Cassell,MIL,39,10.0,10.0,2.0,0.0,W,AWAY,CLE,CLE,41.496389,-81.688056
2002-12-13,Jason Kidd,NJN,11,10.0,10.0,2.0,1.0,W,HOME,WAS,NJN,40.81167,-74.0675
2002-12-13,Antoine Walker,BOS,33,11.0,10.0,3.0,0.0,W,HOME,CLE,BOS,42.366303,-71.062228
2002-12-21,Chris Webber,SAC,29,15.0,11.0,5.0,0.0,L,AWAY,PHO,PHO,33.445833,-112.071389
2002-12-27,Kevin Garnett,MIN,25,15.0,10.0,3.0,2.0,W,AWAY,CHI,CHI,41.880556,-87.674167
2003-01-10,Andre Miller,LAC,16,10.0,10.0,0.0,0.0,W,AWAY,SEA,SEA,47.622,-122.354
2003-01-10,Kobe Bryant,LAL,21,10.0,11.0,4.0,1.0,W,HOME,CLE,LAL,34.043056,-118.267222
2003-01-15,Chris Webber,SAC,29,15.0,11.0,0.0,2.0,W,HOME,DAL,SAC,38.580361,-121.499611
2003-01-22,Jermaine O'Neal,IND,18,10.0,3.0,0.0,10.0,W,HOME,TOR,IND,39.763889,-86.155556
2003-01-22,Sam Cassell,MIL,14,11.0,16.0,0.0,0.0,W,AWAY,BOS,BOS,42.366303,-71.062228
2003-01-26,Chris Webber,SAC,24,19.0,10.0,1.0,3.0,L,AWAY,TOR,TOR,43.643333,-79.379167
2003-01-26,Paul Pierce,BOS,27,13.0,13.0,3.0,0.0,W,HOME,ORL,BOS,42.366303,-71.062228
2003-01-26,Elton Brand,LAC,17,14.0,10.0,2.0,1.0,L,AWAY,IND,IND,39.763889,-86.155556
2003-02-23,Tracy McGrady,ORL,46,10.0,13.0,0.0,2.0,W,AWAY,NJN,NJN,40.81167,-74.0675
2003-02-23,Jason Kidd,NJN,26,11.0,15.0,6.0,0.0,L,HOME,ORL,NJN,40.81167,-74.0675
2003-02-24,Jalen Rose,CHI,21,14.0,11.0,1.0,0.0,W,HOME,PHO,CHI,41.880556,-87.674167
2003-02-26,Jamal Mashburn,CHA,18,13.0,13.0,0.0,0.0,W,HOME,MIA,CHA,35.225,-80.839167
2003-02-26,Eric Snow,PHI,22,10.0,11.0,0.0,0.0,W,HOME,MEM,PHI,39.901111,-75.171944
2003-02-28,Latrell Sprewell,NYK,28,11.0,11.0,5.0,2.0,W,HOME,ORL,NYK,40.750556,-73.993611
2003-02-28,Ray Allen,SEA,29,10.0,10.0,0.0,1.0,W,HOME,LAL,SEA,47.622,-122.354
2003-02-28,Jason Terry,ATL,23,10.0,13.0,1.0,1.0,W,AWAY,CHI,CHI,41.880556,-87.674167
2003-03-09,Kevin Garnett,MIN,29,14.0,12.0,1.0,2.0,W,AWAY,PHO,PHO,33.445833,-112.071389
2003-03-14,Tim Duncan,SAS,24,15.0,10.0,1.0,2.0,W,HOME,LAC,SAS,29.426944,-98.4375
2003-03-16,Kevin Garnett,MIN,17,11.0,10.0,2.0,3.0,W,HOME,POR,MIN,44.9795,-93.2761
2003-03-21,Steve Francis,HOU,13,11.0,12.0,2.0,0.0,W,AWAY,GSW,GSW,37.7503,-122.203
2003-03-24,Rodney White,DEN,17,12.0,10.0,1.0,1.0,L,HOME,DAL,DEN,39.74892,-105.0084
2003-03-31,Richard Jefferson,NJN,30,10.0,11.0,0.0,0.0,W,HOME,HOU,NJN,40.81167,-74.0675
2003-04-06,Kevin Garnett,MIN,16,14.0,12.0,1.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2003-04-09,Jason Kidd,NJN,23,11.0,12.0,0.0,0.0,L,AWAY,ATL,ATL,33.757222,-84.396389
2003-04-09,Penny Hardaway,PHO,10,10.0,10.0,3.0,2.0,W,HOME,DAL,PHO,33.445833,-112.071389
2003-04-16,Jamal Mashburn,CHA,15,10.0,11.0,3.0,0.0,W,HOME,ATL,CHA,35.225,-80.839167
2003-10-31,Jason Kidd,NJN,21,11.0,14.0,4.0,1.0,W,HOME,MIN,NJN,40.81167,-74.0675
2003-11-05,Gilbert Arenas,WAS,25,12.0,10.0,3.0,0.0,W,HOME,DAL,WAS,38.8982,-77.0209
2003-11-12,Jason Kidd,NJN,14,12.0,13.0,1.0,0.0,L,HOME,SAS,NJN,40.81167,-74.0675
2003-11-17,Steve Nash,DAL,14,10.0,12.0,0.0,0.0,W,HOME,POR,DAL,32.790556,-96.810278
2003-11-21,Brad Miller,SAC,22,14.0,10.0,1.0,1.0,W,HOME,ORL,SAC,38.580361,-121.499611
2003-11-25,Jason Kidd,NJN,13,11.0,10.0,2.0,0.0,W,AWAY,SEA,SEA,47.622,-122.354
2003-11-28,Karl Malone,LAL,10,11.0,10.0,0.0,1.0,W,HOME,SAS,LAL,34.043056,-118.267222
2003-11-28,Paul Pierce,BOS,26,10.0,10.0,1.0,0.0,W,HOME,MIL,BOS,42.366303,-71.062228
2003-12-05,Jason Kidd,NJN,16,10.0,11.0,1.0,0.0,W,HOME,MIL,NJN,40.81167,-74.0675
2003-12-07,Brad Miller,SAC,18,15.0,10.0,2.0,2.0,W,HOME,IND,SAC,38.580361,-121.499611
2003-12-18,Kevin Garnett,MIN,35,10.0,10.0,2.0,2.0,W,HOME,DAL,MIN,44.9795,-93.2761
2003-12-26,Jason Kidd,NJN,24,11.0,12.0,2.0,0.0,W,AWAY,DET,DET,42.6969,-83.24555
2003-12-27,Jason Kidd,NJN,16,10.0,14.0,4.0,0.0,W,AWAY,IND,IND,39.763889,-86.155556
2004-01-12,Antoine Walker,DAL,14,12.0,11.0,1.0,1.0,W,AWAY,NYK,NYK,40.750556,-73.993611
2004-01-14,Antoine Walker,DAL,11,17.0,13.0,0.0,0.0,W,HOME,PHI,DAL,32.790556,-96.810278
2004-01-26,Andre Miller,DEN,24,10.0,10.0,4.0,1.0,L,HOME,MIN,DEN,39.74892,-105.0084
2004-01-28,Kevin Garnett,MIN,20,20.0,10.0,1.0,3.0,L,AWAY,GSW,GSW,37.7503,-122.203
2004-01-28,Ray Allen,SEA,18,10.0,10.0,1.0,0.0,L,AWAY,LAL,LAL,34.043056,-118.267222
2004-02-08,Jason Kidd,NJN,14,13.0,10.0,3.0,0.0,W,HOME,PHI,NJN,40.81167,-74.0675
2004-02-17,Vlade Divac,SAC,14,11.0,11.0,0.0,3.0,W,HOME,BOS,SAC,38.580361,-121.499611
2004-02-18,Jason Kidd,NJN,15,13.0,10.0,1.0,0.0,W,HOME,ATL,NJN,40.81167,-74.0675
2004-02-20,Chauncey Billups,DET,20,10.0,11.0,0.0,0.0,L,HOME,MIN,DET,42.6969,-83.24555
2004-02-26,Gilbert Arenas,WAS,21,12.0,13.0,0.0,1.0,W,HOME,CHI,WAS,38.8982,-77.0209
2004-02-28,Kobe Bryant,LAL,25,14.0,10.0,2.0,0.0,W,AWAY,WAS,WAS,38.8982,-77.0209
2004-02-28,Kirk Hinrich,CHI,11,12.0,10.0,1.0,0.0,W,HOME,GSW,CHI,41.880556,-87.674167
2004-03-02,Gary Payton,LAL,23,10.0,10.0,0.0,0.0,L,AWAY,ATL,ATL,33.757222,-84.396389
2004-03-06,Lamar Odom,MIA,30,19.0,11.0,2.0,1.0,W,HOME,SAC,MIA,25.781389,-80.188056
2004-03-12,Jason Kidd,NJN,13,10.0,13.0,3.0,0.0,W,HOME,CHI,NJN,40.81167,-74.0675
2004-03-19,Gilbert Arenas,WAS,13,10.0,10.0,0.0,0.0,W,HOME,ATL,WAS,38.8982,-77.0209
2004-03-23,Sam Cassell,MIN,14,10.0,11.0,1.0,0.0,W,HOME,SAS,MIN,44.9795,-93.2761
2004-04-09,Bob Sura,ATL,12,11.0,12.0,2.0,0.0,W,AWAY,CHI,CHI,41.880556,-87.674167
2004-04-10,Bob Sura,ATL,15,10.0,11.0,0.0,0.0,W,HOME,BOS,ATL,33.757222,-84.396389
2004-11-09,Chris Webber,SAC,21,11.0,11.0,1.0,3.0,W,HOME,TOR,SAC,38.580361,-121.499611
2004-11-19,Kobe Bryant,LAL,29,11.0,10.0,0.0,1.0,L,AWAY,PHO,PHO,33.445833,-112.071389
2004-11-28,Larry Hughes,WAS,33,10.0,10.0,1.0,1.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2004-12-03,Kobe Bryant,LAL,10,12.0,10.0,2.0,0.0,W,HOME,GSW,LAL,34.043056,-118.267222
2004-12-08,Kobe Bryant,LAL,20,14.0,11.0,2.0,0.0,L,HOME,PHO,LAL,34.043056,-118.267222
2004-12-17,Kobe Bryant,LAL,36,10.0,14.0,2.0,1.0,L,HOME,WAS,LAL,34.043056,-118.267222
2004-12-30,Dwyane Wade,MIA,31,10.0,10.0,1.0,1.0,W,AWAY,DET,DET,42.6969,-83.24555
2005-01-03,Paul Pierce,BOS,19,10.0,10.0,1.0,2.0,W,HOME,CHA,BOS,42.366303,-71.062228
2005-01-08,Baron Davis,CHA,26,10.0,17.0,4.0,0.0,W,HOME,SAC,CHA,35.225,-80.839167
2005-01-08,Jason Kidd,NJN,22,11.0,11.0,2.0,0.0,L,AWAY,ORL,ORL,28.539167,-81.383611
2005-01-15,Jason Kidd,NJN,10,10.0,11.0,2.0,0.0,L,AWAY,DAL,DAL,32.790556,-96.810278
2005-01-19,LeBron James,CLE,27,11.0,10.0,4.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2005-01-20,Mike Bibby,SAC,17,10.0,11.0,0.0,1.0,W,HOME,CLE,SAC,38.580361,-121.499611
2005-01-22,LeBron James,CLE,28,12.0,10.0,1.0,1.0,W,AWAY,GSW,GSW,37.7503,-122.203
2005-02-02,Paul Pierce,BOS,28,10.0,10.0,4.0,1.0,W,HOME,NJN,BOS,42.366303,-71.062228
2005-02-05,Chris Webber,SAC,20,13.0,10.0,4.0,0.0,L,AWAY,POR,POR,45.531667,-122.666667
2005-02-07,Jason Kidd,NJN,22,11.0,16.0,0.0,0.0,W,HOME,PHI,NJN,40.81167,-74.0675
2005-02-08,Chris Webber,SAC,24,10.0,12.0,1.0,1.0,L,HOME,PHO,SAC,38.580361,-121.499611
2005-02-09,Jason Kidd,NJN,28,12.0,12.0,0.0,0.0,L,HOME,LAL,NJN,40.81167,-74.0675
2005-02-13,Chris Webber,SAC,14,17.0,12.0,0.0,1.0,W,AWAY,BOS,BOS,42.366303,-71.062228
2005-02-16,Jason Kidd,NJN,19,11.0,10.0,1.0,0.0,W,HOME,SAC,NJN,40.81167,-74.0675
2005-03-13,Jason Kidd,NJN,14,10.0,10.0,5.0,1.0,W,AWAY,ORL,ORL,28.539167,-81.383611
2005-03-23,Andre Iguodala,PHI,10,10.0,10.0,4.0,0.0,W,HOME,DET,PHI,39.901111,-75.171944
2005-03-30,Steve Nash,PHO,12,13.0,12.0,0.0,0.0,W,HOME,PHI,PHO,33.445833,-112.071389
2005-04-06,Damon Stoudamire,POR,13,12.0,10.0,5.0,0.0,L,HOME,GSW,POR,45.531667,-122.666667
2005-04-07,Jason Kidd,NJN,28,10.0,12.0,1.0,0.0,W,HOME,NYK,NJN,40.81167,-74.0675
2005-04-07,Kobe Bryant,LAL,19,10.0,10.0,1.0,0.0,L,HOME,HOU,LAL,34.043056,-118.267222
2005-04-09,LeBron James,CLE,40,10.0,10.0,2.0,1.0,W,HOME,MIL,CLE,41.496389,-81.688056
2005-04-13,Kevin Garnett,MIN,21,15.0,11.0,1.0,1.0,W,HOME,GSW,MIN,44.9795,-93.2761
2005-04-15,Damon Stoudamire,POR,18,12.0,11.0,2.0,0.0,L,AWAY,GSW,GSW,37.7503,-122.203
2005-04-17,Jason Kidd,NJN,11,10.0,16.0,4.0,0.0,W,HOME,PHI,NJN,40.81167,-74.0675
2005-04-20,LeBron James,CLE,27,14.0,14.0,0.0,1.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2005-11-02,Chris Duhon,CHI,18,10.0,12.0,2.0,0.0,W,HOME,CHA,CHI,41.880556,-87.674167
2005-11-05,Jason Kidd,NJN,10,11.0,11.0,3.0,0.0,W,HOME,CHI,NJN,40.81167,-74.0675
2005-11-19,LeBron James,CLE,36,11.0,10.0,1.0,1.0,W,AWAY,PHI,PHI,39.901111,-75.171944
2006-01-04,Dwyane Wade,MIA,19,10.0,10.0,0.0,0.0,L,AWAY,CHA,CHA,35.225,-80.839167
2006-01-04,LeBron James,CLE,32,11.0,11.0,5.0,1.0,W,AWAY,MIL,MIL,43.045028,-87.918167
2006-01-06,Jason Kidd,NJN,16,11.0,13.0,3.0,1.0,W,HOME,ORL,NJN,40.81167,-74.0675
2006-01-10,Mike Miller,MEM,21,10.0,10.0,2.0,1.0,W,HOME,SAC,MEM,35.138333,-90.050556
2006-01-13,Dwyane Wade,MIA,15,10.0,14.0,2.0,2.0,W,AWAY,SEA,SEA,47.622,-122.354
2006-01-14,Baron Davis,GSW,24,11.0,13.0,1.0,0.0,L,HOME,LAL,GSW,37.7503,-122.203
2006-01-17,Andrei Kirilenko,UTA,18,16.0,11.0,3.0,4.0,W,HOME,TOR,UTA,40.768333,-111.901111
2006-01-19,Kenny Thomas,SAC,16,12.0,10.0,1.0,0.0,W,HOME,LAL,SAC,38.580361,-121.499611
2006-01-23,Jason Kidd,NJN,17,12.0,10.0,1.0,0.0,L,AWAY,UTA,UTA,40.768333,-111.901111
2006-01-29,Steve Francis,ORL,22,10.0,10.0,0.0,0.0,L,HOME,PHI,ORL,28.539167,-81.383611
2006-01-31,Boris Diaw,PHO,14,11.0,13.0,0.0,1.0,W,AWAY,PHI,PHI,39.901111,-75.171944
2006-02-01,Joe Johnson,ATL,15,10.0,11.0,1.0,1.0,W,AWAY,CHA,CHA,35.225,-80.839167
2006-02-01,LeBron James,CLE,26,11.0,10.0,1.0,1.0,W,HOME,NJN,CLE,41.496389,-81.688056
2006-02-04,Vince Carter,NJN,28,13.0,10.0,0.0,0.0,W,HOME,MIA,NJN,40.81167,-74.0675
2006-02-15,LeBron James,CLE,43,12.0,11.0,2.0,4.0,W,AWAY,BOS,BOS,42.366303,-71.062228
2006-02-21,Jason Kidd,NJN,12,12.0,13.0,2.0,0.0,W,AWAY,MIL,MIL,43.045028,-87.918167
2006-03-04,Jason Kidd,NJN,14,13.0,15.0,2.0,1.0,W,HOME,TOR,NJN,40.81167,-74.0675
2006-03-05,Boris Diaw,PHO,24,10.0,10.0,0.0,0.0,W,AWAY,DAL,DAL,32.790556,-96.810278
2006-03-08,Paul Pierce,BOS,31,12.0,10.0,0.0,3.0,W,HOME,PHI,BOS,42.366303,-71.062228
2006-03-08,Pau Gasol,MEM,21,12.0,12.0,4.0,3.0,W,AWAY,SEA,SEA,47.622,-122.354
2006-03-13,Jason Kidd,NJN,11,10.0,10.0,0.0,1.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2006-03-22,LeBron James,CLE,37,11.0,12.0,0.0,1.0,W,HOME,CHA,CLE,41.496389,-81.688056
2006-03-25,Andrei Kirilenko,UTA,15,14.0,3.0,3.0,10.0,L,HOME,SAC,UTA,40.768333,-111.901111
2006-03-28,Charlie Bell,MIL,19,10.0,13.0,3.0,0.0,W,HOME,PHO,MIL,43.045028,-87.918167
2006-04-02,Chris Paul,CHA,24,12.0,12.0,2.0,1.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2006-04-05,Chris Paul,CHA,17,11.0,16.0,6.0,0.0,W,HOME,GSW,CHA,35.225,-80.839167
2006-04-06,Jason Kidd,NJN,13,10.0,12.0,3.0,0.0,W,HOME,CHA,NJN,40.81167,-74.0675
2006-04-09,Jason Kidd,NJN,11,12.0,10.0,3.0,0.0,W,AWAY,MIL,MIL,43.045028,-87.918167
2006-04-11,Shaquille O'Neal,MIA,15,11.0,10.0,0.0,1.0,W,HOME,TOR,MIA,25.781389,-80.188056
2006-04-11,Lamar Odom,LAL,15,13.0,10.0,0.0,1.0,W,HOME,GSW,LAL,34.043056,-118.267222
2006-04-14,Boris Diaw,PHO,11,11.0,16.0,2.0,3.0,L,AWAY,GSW,GSW,37.7503,-122.203
2006-04-14,Lamar Odom,LAL,16,12.0,12.0,1.0,0.0,W,HOME,POR,LAL,34.043056,-118.267222
2006-04-16,Boris Diaw,PHO,11,10.0,12.0,1.0,0.0,L,AWAY,LAL,LAL,34.043056,-118.267222
2006-04-19,Steve Nash,PHO,16,10.0,12.0,2.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2006-11-01,Jason Kidd,NJN,14,10.0,10.0,0.0,0.0,W,HOME,TOR,NJN,40.81167,-74.0675
2006-11-08,Ryan Gomes,BOS,10,12.0,10.0,0.0,1.0,W,HOME,CHA,BOS,42.366303,-71.062228
2006-11-12,Jason Kidd,NJN,15,11.0,18.0,4.0,0.0,W,AWAY,WAS,WAS,38.8982,-77.0209
2006-11-22,Andre Iguodala,PHI,18,16.0,10.0,3.0,0.0,L,AWAY,MIL,MIL,43.045028,-87.918167
2006-12-01,Chris Paul,CHA,25,11.0,18.0,5.0,1.0,L,HOME,CHI,CHA,35.225,-80.839167
2006-12-07,Jason Kidd,NJN,38,14.0,14.0,1.0,0.0,L,HOME,PHO,NJN,40.81167,-74.0675
2006-12-11,Jason Kidd,NJN,12,10.0,13.0,3.0,0.0,W,HOME,MEM,NJN,40.81167,-74.0675
2006-12-13,Jason Kidd,NJN,10,10.0,10.0,3.0,1.0,W,HOME,MIL,NJN,40.81167,-74.0675
2006-12-15,Boris Diaw,PHO,21,14.0,10.0,1.0,1.0,W,HOME,GSW,PHO,33.445833,-112.071389
2006-12-18,Jason Kidd,NJN,10,11.0,12.0,2.0,0.0,W,HOME,GSW,NJN,40.81167,-74.0675
2006-12-20,Mo Williams,MIL,19,11.0,10.0,0.0,0.0,W,HOME,MIA,MIL,43.045028,-87.918167
2006-12-22,John Salmons,SAC,21,11.0,10.0,1.0,1.0,W,AWAY,DEN,DEN,39.74892,-105.0084
2007-01-11,Jason Kidd,NJN,23,14.0,11.0,2.0,0.0,W,AWAY,CHI,CHI,41.880556,-87.674167
2007-01-19,LeBron James,CLE,30,10.0,10.0,2.0,0.0,L,AWAY,DEN,DEN,39.74892,-105.0084
2007-01-22,Jason Kidd,NJN,18,10.0,10.0,1.0,0.0,L,AWAY,SAC,SAC,38.580361,-121.499611
2007-01-24,Pau Gasol,MEM,17,13.0,12.0,1.0,2.0,W,AWAY,UTA,UTA,40.768333,-111.901111
2007-01-26,Andre Miller,PHI,12,12.0,13.0,1.0,0.0,L,HOME,CLE,PHI,39.901111,-75.171944
2007-02-02,Andre Iguodala,PHI,25,10.0,13.0,3.0,1.0,L,HOME,GSW,PHI,39.901111,-75.171944
2007-02-05,Carmelo Anthony,DEN,31,10.0,10.0,0.0,0.0,L,HOME,PHO,DEN,39.74892,-105.0084
2007-02-07,Kevin Garnett,MIN,17,15.0,10.0,1.0,1.0,W,HOME,GSW,MIN,44.9795,-93.2761
2007-02-11,Kevin Garnett,MIN,26,11.0,10.0,0.0,0.0,W,HOME,BOS,MIN,44.9795,-93.2761
2007-02-23,Jason Kidd,NJN,22,13.0,10.0,0.0,0.0,W,HOME,SAC,NJN,40.81167,-74.0675
2007-03-04,Jason Kidd,NJN,11,14.0,14.0,3.0,0.0,L,AWAY,PHI,PHI,39.901111,-75.171944
2007-03-04,Kevin Garnett,MIN,33,13.0,10.0,2.0,3.0,L,AWAY,BOS,BOS,42.366303,-71.062228
2007-03-07,Andre Iguodala,PHI,25,11.0,10.0,0.0,0.0,W,HOME,SEA,PHI,39.901111,-75.171944
2007-04-03,Lamar Odom,LAL,17,14.0,12.0,0.0,0.0,L,HOME,DEN,LAL,34.043056,-118.267222
2007-04-07,Vince Carter,NJN,46,16.0,10.0,1.0,3.0,W,HOME,WAS,NJN,40.81167,-74.0675
2007-04-07,Jason Kidd,NJN,10,16.0,18.0,4.0,0.0,W,HOME,WAS,NJN,40.81167,-74.0675
2007-04-10,Brad Miller,SAC,17,10.0,11.0,2.0,1.0,W,AWAY,MEM,MEM,35.138333,-90.050556
2007-04-13,Jason Kidd,NJN,13,14.0,11.0,0.0,0.0,W,HOME,NYK,NJN,40.81167,-74.0675
2007-04-16,Vince Carter,NJN,29,12.0,10.0,2.0,0.0,W,AWAY,NYK,NYK,40.750556,-73.993611
2007-04-18,Baron Davis,GSW,12,10.0,14.0,3.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2007-11-03,Jason Kidd,NJN,16,14.0,10.0,3.0,1.0,W,AWAY,PHI,PHI,39.901111,-75.171944
2007-11-07,LeBron James,CLE,32,15.0,13.0,3.0,2.0,L,AWAY,UTA,UTA,40.768333,-111.901111
2007-11-14,LeBron James,CLE,39,13.0,14.0,0.0,2.0,L,HOME,ORL,CLE,41.496389,-81.688056
2007-11-16,Jason Kidd,NJN,11,19.0,10.0,2.0,0.0,L,HOME,ORL,NJN,40.81167,-74.0675
2007-11-21,Jason Kidd,NJN,12,11.0,13.0,1.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2007-11-23,Baron Davis,GSW,33,11.0,15.0,0.0,0.0,W,AWAY,WAS,WAS,38.8982,-77.0209
2007-11-23,Caron Butler,WAS,26,11.0,10.0,2.0,0.0,L,HOME,GSW,WAS,38.8982,-77.0209
2007-11-24,LeBron James,CLE,37,12.0,12.0,3.0,1.0,W,HOME,TOR,CLE,41.496389,-81.688056
2007-11-25,LeBron James,CLE,30,11.0,10.0,4.0,1.0,W,AWAY,IND,IND,39.763889,-86.155556
2007-11-27,Jason Kidd,NJN,12,15.0,12.0,0.0,0.0,L,HOME,MEM,NJN,40.81167,-74.0675
2007-11-30,Andrei Kirilenko,UTA,20,11.0,11.0,6.0,4.0,W,HOME,LAL,UTA,40.768333,-111.901111
2007-12-05,Tracy McGrady,HOU,17,10.0,12.0,2.0,2.0,W,HOME,MEM,HOU,29.750833,-95.362222
2007-12-09,Jason Kidd,NJN,13,10.0,13.0,1.0,0.0,L,AWAY,WAS,WAS,38.8982,-77.0209
2007-12-11,Jason Kidd,NJN,11,10.0,11.0,2.0,0.0,L,HOME,LAC,NJN,40.81167,-74.0675
2007-12-14,Kirk Hinrich,CHI,15,12.0,14.0,2.0,3.0,W,HOME,NYK,CHI,41.880556,-87.674167
2007-12-19,Caron Butler,WAS,29,11.0,10.0,3.0,0.0,L,HOME,CHI,WAS,38.8982,-77.0209
2007-12-22,Jason Kidd,NJN,15,11.0,12.0,1.0,0.0,W,HOME,GSW,NJN,40.81167,-74.0675
2007-12-26,Marcus Camby,DEN,10,11.0,5.0,2.0,10.0,W,HOME,MIL,DEN,39.74892,-105.0084
2008-01-04,Jason Kidd,NJN,11,10.0,12.0,3.0,1.0,W,HOME,CHA,NJN,40.81167,-74.0675
2008-01-05,Jason Kidd,NJN,10,13.0,14.0,3.0,0.0,W,AWAY,ATL,ATL,33.757222,-84.396389
2008-01-08,Jason Kidd,NJN,13,11.0,12.0,1.0,1.0,L,AWAY,CHA,CHA,35.225,-80.839167
2008-01-23,Josh Smith,ATL,22,12.0,10.0,3.0,5.0,L,AWAY,DEN,DEN,39.74892,-105.0084
2008-01-24,Baron Davis,GSW,25,12.0,10.0,5.0,0.0,W,HOME,NJN,GSW,37.7503,-122.203
2008-01-25,Jason Kidd,NJN,13,11.0,10.0,2.0,2.0,L,AWAY,DEN,DEN,39.74892,-105.0084
2008-02-01,Brandon Roy,POR,20,10.0,11.0,1.0,0.0,W,HOME,NYK,POR,45.531667,-122.666667
2008-02-04,Hedo Turkoglu,ORL,13,12.0,13.0,0.0,0.0,L,HOME,DAL,ORL,28.539167,-81.383611
2008-02-06,Earl Watson,SEA,23,10.0,10.0,2.0,1.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2008-02-06,Dirk Nowitzki,DAL,29,10.0,12.0,0.0,1.0,W,HOME,MIL,DAL,32.790556,-96.810278
2008-02-08,Jason Kidd,NJN,19,11.0,13.0,0.0,2.0,W,AWAY,CHA,CHA,35.225,-80.839167
2008-02-13,Carlos Boozer,UTA,22,11.0,10.0,5.0,0.0,W,AWAY,SEA,SEA,47.622,-122.354
2008-02-13,Lamar Odom,LAL,10,16.0,10.0,1.0,0.0,W,AWAY,MIN,MIN,44.9795,-93.2761
2008-02-19,LeBron James,CLE,26,13.0,11.0,2.0,0.0,L,HOME,HOU,CLE,41.496389,-81.688056
2008-02-20,LeBron James,CLE,31,14.0,12.0,2.0,1.0,W,AWAY,IND,IND,39.763889,-86.155556
2008-03-10,LeBron James,CLE,24,10.0,11.0,1.0,2.0,W,HOME,POR,CLE,41.496389,-81.688056
2008-03-10,Hedo Turkoglu,ORL,23,10.0,13.0,0.0,0.0,W,HOME,ATL,ORL,28.539167,-81.383611
2008-03-16,Marcus Camby,DEN,13,15.0,10.0,1.0,4.0,W,HOME,SEA,DEN,39.74892,-105.0084
2008-03-30,Caron Butler,WAS,17,12.0,12.0,2.0,1.0,L,AWAY,LAL,LAL,34.043056,-118.267222
2008-04-06,Chris Paul,CHA,16,10.0,13.0,5.0,0.0,W,HOME,GSW,CHA,35.225,-80.839167
2008-04-10,Baron Davis,GSW,20,10.0,11.0,1.0,1.0,L,HOME,DEN,GSW,37.7503,-122.203
2008-04-16,Jason Kidd,DAL,27,10.0,10.0,0.0,0.0,W,HOME,CHA,DAL,32.790556,-96.810278
2008-11-11,Jason Kidd,DAL,16,11.0,10.0,4.0,1.0,L,HOME,LAL,DAL,32.790556,-96.810278
2008-11-12,Dwight Howard,ORL,30,19.0,3.0,0.0,10.0,W,AWAY,OKC,OKC,35.463333,-97.515
2008-11-22,Chris Paul,CHA,29,10.0,16.0,3.0,1.0,W,HOME,OKC,CHA,35.225,-80.839167
2008-11-24,Chris Paul,CHA,14,10.0,17.0,1.0,1.0,W,AWAY,LAC,LAC,34.043056,-118.267222
2008-12-03,Rajon Rondo,BOS,16,13.0,17.0,3.0,0.0,W,HOME,IND,BOS,42.366303,-71.062228
2008-12-16,Tracy McGrady,HOU,20,14.0,10.0,1.0,3.0,W,HOME,DEN,HOU,29.750833,-95.362222
2008-12-20,Andre Miller,PHI,14,10.0,12.0,1.0,0.0,L,HOME,IND,PHI,39.901111,-75.171944
2008-12-23,Joe Johnson,ATL,20,11.0,11.0,1.0,1.0,W,HOME,OKC,ATL,33.757222,-84.396389
2008-12-30,Chris Paul,CHA,15,10.0,16.0,1.0,0.0,W,HOME,WAS,CHA,35.225,-80.839167
2009-01-02,LeBron James,CLE,16,10.0,11.0,2.0,3.0,W,HOME,CHI,CLE,41.496389,-81.688056
2009-01-13,LeBron James,CLE,30,11.0,10.0,3.0,1.0,W,AWAY,MEM,MEM,35.138333,-90.050556
