DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
1961-11-17,Bob Cousy,BOS,13,10.0,12.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1961-11-21,Oscar Robertson,CIN,25,16.0,18.0,,,L,HOME,PHW,CIN,39.1811,-84.4553
1961-11-26,Oscar Robertson,CIN,24,14.0,17.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1961-11-28,Oscar Robertson,CIN,31,15.0,13.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1961-12-01,Tom Gola,PHW,19,10.0,15.0,,,W,AWAY,LAL,LAL,34.043056,-118.267222
1961-12-01,Jerry West,LAL,36,10.0,10.0,,,L,HOME,PHW,LAL,34.043056,-118.267222
1961-12-02,Elgin Baylor,LAL,20,20.0,14.0,,,W,HOME,PHW,LAL,34.043056,-118.267222
1961-12-06,Oscar Robertson,CIN,31,20.0,10.0,,,L,N,BOS,BOS,42.366303,-71.062228
1961-12-08,Jerry West,LAL,32,11.0,10.0,,,W,AWAY,PHW,PHW,39.947368,-75.195043
1961-12-08,Oscar Robertson,CIN,31,13.0,19.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1961-12-11,Oscar Robertson,CIN,32,15.0,20.0,,,W,N,CHP,CHP,41.816111,-87.646111
1961-12-13,Elgin Baylor,LAL,52,25.0,10.0,,,W,HOME,STL,LAL,34.043056,-118.267222
1961-12-13,Oscar Robertson,CIN,28,16.0,12.0,,,W,AWAY,SYR,SYR,43.044722,-76.148333
1961-12-16,Oscar Robertson,CIN,27,10.0,13.0,,,W,AWAY,DET,DET,42.6969,-83.24555
1961-12-19,Oscar Robertson,CIN,28,12.0,13.0,,,L,HOME,PHW,CIN,39.1811,-84.4553
1961-12-23,Richie Guerin,NYK,27,10.0,11.0,,,L,AWAY,BOS,BOS,42.366303,-71.062228
1961-12-25,Oscar Robertson,CIN,40,12.0,17.0,,,L,HOME,LAL,CIN,39.1811,-84.4553
1961-12-26,Oscar Robertson,CIN,29,11.0,13.0,,,W,AWAY,STL,STL,38.627972,-90.201782
1962-01-03,Oscar Robertson,CIN,26,12.0,13.0,,,W,N,NYK,NYK,40.750556,-73.993611
1962-01-05,Oscar Robertson,CIN,27,15.0,11.0,,,L,HOME,BOS,CIN,39.1811,-84.4553
1962-01-07,Oscar Robertson,CIN,25,11.0,12.0,,,W,N,CHP,CHP,41.816111,-87.646111
1962-01-07,Richie Guerin,NYK,32,10.0,13.0,,,L,HOME,SYR,NYK,40.750556,-73.993611
1962-01-09,Oscar Robertson,CIN,33,20.0,14.0,,,W,N,CHP,CHP,41.816111,-87.646111
1962-01-11,Oscar Robertson,CIN,38,12.0,19.0,,,W,HOME,PHW,CIN,39.1811,-84.4553
1962-01-14,Oscar Robertson,CIN,36,13.0,10.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1962-01-18,Oscar Robertson,CIN,28,14.0,16.0,,,W,AWAY,PHW,PHW,39.947368,-75.195043
1962-01-20,Oscar Robertson,CIN,39,13.0,11.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1962-01-27,Tom Gola,PHW,16,12.0,10.0,,,W,HOME,BOS,PHW,39.947368,-75.195043
1962-01-28,Jerry West,LAL,28,11.0,12.0,,,W,HOME,CHP,LAL,34.043056,-118.267222
1962-01-30,Oscar Robertson,CIN,36,14.0,13.0,,,W,AWAY,STL,STL,38.627972,-90.201782
1962-02-10,Oscar Robertson,CIN,32,21.0,16.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1962-02-13,Oscar Robertson,CIN,42,15.0,18.0,,,W,HOME,PHW,CIN,39.1811,-84.4553
1962-02-14,Oscar Robertson,CIN,27,10.0,12.0,,,L,N,CHP,CHP,41.816111,-87.646111
1962-02-16,Oscar Robertson,CIN,40,14.0,10.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1962-02-17,Oscar Robertson,CIN,30,15.0,18.0,,,L,HOME,DET,CIN,39.1811,-84.4553
1962-02-20,Oscar Robertson,CIN,31,20.0,16.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1962-02-23,Oscar Robertson,CIN,39,11.0,10.0,,,W,AWAY,DET,DET,42.6969,-83.24555
1962-02-24,Oscar Robertson,CIN,35,11.0,10.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1962-02-25,Oscar Robertson,CIN,33,15.0,13.0,,,W,HOME,CHP,CIN,39.1811,-84.4553
1962-02-25,Richie Guerin,NYK,50,11.0,13.0,,,W,AWAY,PHW,PHW,39.947368,-75.195043
1962-03-03,Lenny Wilkens,STL,13,10.0,11.0,,,W,HOME,LAL,STL,38.627972,-90.201782
1962-03-03,Oscar Robertson,CIN,27,11.0,12.0,,,W,AWAY,CHP,CHP,41.816111,-87.646111
1962-10-26,Guy Rodgers,SFW,23,20.0,17.0,,,W,HOME,DET,SFW,37.778457,-122.417369
1962-11-07,Elgin Baylor,LAL,30,21.0,10.0,,,W,AWAY,SFW,SFW,37.778457,-122.417369
1962-11-07,Oscar Robertson,CIN,42,10.0,11.0,,,L,HOME,BOS,CIN,39.1811,-84.4553
1962-11-18,Oscar Robertson,CIN,32,13.0,12.0,,,W,HOME,SFW,CIN,39.1811,-84.4553
1962-11-23,Jerry West,LAL,20,12.0,12.0,,,W,AWAY,SFW,SFW,37.778457,-122.417369
1962-11-24,Oscar Robertson,CIN,28,10.0,10.0,,,L,AWAY,LAL,LAL,34.043056,-118.267222
1962-12-01,Elgin Baylor,LAL,22,12.0,14.0,,,W,HOME,STL,LAL,34.043056,-118.267222
1962-12-07,Guy Rodgers,SFW,14,11.0,13.0,,,L,AWAY,DET,DET,42.6969,-83.24555
1962-12-08,Oscar Robertson,CIN,42,14.0,14.0,,,L,HOME,LAL,CIN,39.1811,-84.4553
1962-12-13,Oscar Robertson,CIN,30,13.0,19.0,,,W,N,CHZ,CHZ,41.86234,-87.62606
1962-12-15,Oscar Robertson,CIN,26,13.0,10.0,,,W,AWAY,BOS,BOS,42.366303,-71.062228
1962-12-19,Oscar Robertson,CIN,32,15.0,13.0,,,W,HOME,SYR,CIN,39.1811,-84.4553
1962-12-21,Guy Rodgers,SFW,13,10.0,17.0,,,W,AWAY,DET,DET,42.6969,-83.24555
1962-12-21,Oscar Robertson,CIN,30,20.0,13.0,,,W,HOME,CHZ,CIN,39.1811,-84.4553
1963-01-01,Oscar Robertson,CIN,32,12.0,11.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1963-01-04,Elgin Baylor,LAL,22,13.0,11.0,,,W,HOME,BOS,LAL,34.043056,-118.267222
1963-01-04,Oscar Robertson,CIN,22,11.0,19.0,,,W,HOME,SFW,CIN,39.1811,-84.4553
1963-01-06,Oscar Robertson,CIN,33,10.0,13.0,,,L,HOME,LAL,CIN,39.1811,-84.4553
1963-01-12,Jerry West,LAL,33,12.0,10.0,,,W,HOME,SFW,LAL,34.043056,-118.267222
1963-01-18,Oscar Robertson,CIN,33,11.0,12.0,,,L,AWAY,BOS,BOS,42.366303,-71.062228
1963-01-19,Bill Russell,BOS,17,22.0,,,,L,AWAY,SYR,SYR,43.044722,-76.148333
1963-01-24,Guy Rodgers,SFW,14,11.0,11.0,,,W,N,DET,DET,42.6969,-83.24555
1963-02-07,Oscar Robertson,CIN,33,15.0,10.0,,,W,HOME,SFW,CIN,39.1811,-84.4553
1963-02-10,Oscar Robertson,CIN,29,16.0,12.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1963-02-10,Bill Russell,BOS,17,19.0,10.0,,,W,HOME,NYK,BOS,42.366303,-71.062228
1963-02-13,Oscar Robertson,CIN,34,17.0,12.0,,,W,N,SYR,SYR,43.044722,-76.148333
1963-02-13,Wilt Chamberlain,SFW,51,29.0,11.0,,,L,HOME,DET,SFW,37.778457,-122.417369
1963-02-13,Elgin Baylor,LAL,50,15.0,11.0,,,W,AWAY,BOS,BOS,42.366303,-71.062228
1963-02-16,Oscar Robertson,CIN,25,12.0,10.0,,,W,AWAY,DET,DET,42.6969,-83.24555
1963-02-19,Oscar Robertson,CIN,35,17.0,17.0,,,L,AWAY,BOS,BOS,42.366303,-71.062228
1963-02-21,Oscar Robertson,CIN,25,11.0,12.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1963-02-23,Oscar Robertson,CIN,24,10.0,12.0,,,L,HOME,DET,CIN,39.1811,-84.4553
1963-03-01,Elgin Baylor,LAL,33,15.0,10.0,,,L,AWAY,CHZ,CHZ,41.86234,-87.62606
1963-03-03,Wilt Chamberlain,SFW,45,33.0,10.0,,,W,HOME,CIN,SFW,37.778457,-122.417369
1963-03-05,Wilt Chamberlain,SFW,25,19.0,10.0,,,L,N,DET,DET,42.6969,-83.24555
1963-03-16,Oscar Robertson,CIN,24,11.0,13.0,,,W,AWAY,CHZ,CHZ,41.86234,-87.62606
